,0,standard_buses
0,603.6704630759999,4.0
0,603.6704630759999,4.0
0,603.6704630759999,4.0
0,603.6704630759999,4.0
1,3745.09151178,4.0
1,3745.09151178,4.0
1,3745.09151178,4.0
1,3745.09151178,4.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
2,3009.9433774,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
3,4915.86221154,26.0
4,8675.76883244,11.0
4,8675.76883244,11.0
4,8675.76883244,11.0
4,8675.76883244,11.0
4,8675.76883244,11.0
4,8675.76883244,11.0
4,8675.76883244,11.0
4,8675.76883244,11.0
4,8675.76883244,11.0
4,8675.76883244,11.0
4,8675.76883244,11.0
5,7996.74225042,11.0
5,7996.74225042,11.0
5,7996.74225042,11.0
5,7996.74225042,11.0
5,7996.74225042,11.0
5,7996.74225042,11.0
5,7996.74225042,11.0
5,7996.74225042,11.0
5,7996.74225042,11.0
5,7996.74225042,11.0
5,7996.74225042,11.0
6,17665.05247636,8.0
6,17665.05247636,8.0
6,17665.05247636,8.0
6,17665.05247636,8.0
6,17665.05247636,8.0
6,17665.05247636,8.0
6,17665.05247636,8.0
6,17665.05247636,8.0
7,12905.97519264,8.0
7,12905.97519264,8.0
7,12905.97519264,8.0
7,12905.97519264,8.0
7,12905.97519264,8.0
7,12905.97519264,8.0
7,12905.97519264,8.0
7,12905.97519264,8.0
8,5796.87880466,5.0
8,5796.87880466,5.0
8,5796.87880466,5.0
8,5796.87880466,5.0
8,5796.87880466,5.0
9,24858.981228999994,5.0
9,24858.981228999994,5.0
9,24858.981228999994,5.0
9,24858.981228999994,5.0
9,24858.981228999994,5.0
10,11590.82361492,6.0
10,11590.82361492,6.0
10,11590.82361492,6.0
10,11590.82361492,6.0
10,11590.82361492,6.0
10,11590.82361492,6.0
11,320.29157882,6.0
11,320.29157882,6.0
11,320.29157882,6.0
11,320.29157882,6.0
11,320.29157882,6.0
11,320.29157882,6.0
12,10612.7760417,5.0
12,10612.7760417,5.0
12,10612.7760417,5.0
12,10612.7760417,5.0
12,10612.7760417,5.0
13,8969.27528212,5.0
13,8969.27528212,5.0
13,8969.27528212,5.0
13,8969.27528212,5.0
13,8969.27528212,5.0
14,5146.9366655600015,5.0
14,5146.9366655600015,5.0
14,5146.9366655600015,5.0
14,5146.9366655600015,5.0
14,5146.9366655600015,5.0
15,7180.59016926,5.0
15,7180.59016926,5.0
15,7180.59016926,5.0
15,7180.59016926,5.0
15,7180.59016926,5.0
16,12905.97519264,8.0
16,12905.97519264,8.0
16,12905.97519264,8.0
16,12905.97519264,8.0
16,12905.97519264,8.0
16,12905.97519264,8.0
16,12905.97519264,8.0
16,12905.97519264,8.0
17,9613.654532820003,8.0
17,9613.654532820003,8.0
17,9613.654532820003,8.0
17,9613.654532820003,8.0
17,9613.654532820003,8.0
17,9613.654532820003,8.0
17,9613.654532820003,8.0
17,9613.654532820003,8.0
18,12900.403312099997,4.0
18,12900.403312099997,4.0
18,12900.403312099997,4.0
18,12900.403312099997,4.0
19,12763.78679892,4.0
19,12763.78679892,4.0
19,12763.78679892,4.0
19,12763.78679892,4.0
20,7574.41322106,14.0
20,7574.41322106,14.0
20,7574.41322106,14.0
20,7574.41322106,14.0
20,7574.41322106,14.0
20,7574.41322106,14.0
20,7574.41322106,14.0
20,7574.41322106,14.0
20,7574.41322106,14.0
20,7574.41322106,14.0
20,7574.41322106,14.0
20,7574.41322106,14.0
20,7574.41322106,14.0
20,7574.41322106,14.0
21,7715.06145922,14.0
21,7715.06145922,14.0
21,7715.06145922,14.0
21,7715.06145922,14.0
21,7715.06145922,14.0
21,7715.06145922,14.0
21,7715.06145922,14.0
21,7715.06145922,14.0
21,7715.06145922,14.0
21,7715.06145922,14.0
21,7715.06145922,14.0
21,7715.06145922,14.0
21,7715.06145922,14.0
21,7715.06145922,14.0
22,3745.09151178,4.0
22,3745.09151178,4.0
22,3745.09151178,4.0
22,3745.09151178,4.0
23,3633.8876568000014,4.0
23,3633.8876568000014,4.0
23,3633.8876568000014,4.0
23,3633.8876568000014,4.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
24,79117.973125,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
25,10913.783596800002,74.0
26,6670.37681376,8.0
26,6670.37681376,8.0
26,6670.37681376,8.0
26,6670.37681376,8.0
26,6670.37681376,8.0
26,6670.37681376,8.0
26,6670.37681376,8.0
26,6670.37681376,8.0
27,15842.201919580002,8.0
27,15842.201919580002,8.0
27,15842.201919580002,8.0
27,15842.201919580002,8.0
27,15842.201919580002,8.0
27,15842.201919580002,8.0
27,15842.201919580002,8.0
27,15842.201919580002,8.0
28,11590.82361492,3.0
28,11590.82361492,3.0
28,11590.82361492,3.0
29,6670.37681376,3.0
29,6670.37681376,3.0
29,6670.37681376,3.0
30,17665.05247636,9.0
30,17665.05247636,9.0
30,17665.05247636,9.0
30,17665.05247636,9.0
30,17665.05247636,9.0
30,17665.05247636,9.0
30,17665.05247636,9.0
30,17665.05247636,9.0
30,17665.05247636,9.0
31,8969.27528212,9.0
31,8969.27528212,9.0
31,8969.27528212,9.0
31,8969.27528212,9.0
31,8969.27528212,9.0
31,8969.27528212,9.0
31,8969.27528212,9.0
31,8969.27528212,9.0
31,8969.27528212,9.0
32,8388.89678008,3.0
32,8388.89678008,3.0
32,8388.89678008,3.0
33,8384.237402600002,3.0
33,8384.237402600002,3.0
33,8384.237402600002,3.0
34,12763.78679892,2.0
34,12763.78679892,2.0
35,8020.1654454,2.0
35,8020.1654454,2.0
36,6111.90339696,7.0
36,6111.90339696,7.0
36,6111.90339696,7.0
36,6111.90339696,7.0
36,6111.90339696,7.0
36,6111.90339696,7.0
36,6111.90339696,7.0
37,17665.05247636,7.0
37,17665.05247636,7.0
37,17665.05247636,7.0
37,17665.05247636,7.0
37,17665.05247636,7.0
37,17665.05247636,7.0
37,17665.05247636,7.0
38,9613.654532820003,14.0
38,9613.654532820003,14.0
38,9613.654532820003,14.0
38,9613.654532820003,14.0
38,9613.654532820003,14.0
38,9613.654532820003,14.0
38,9613.654532820003,14.0
38,9613.654532820003,14.0
38,9613.654532820003,14.0
38,9613.654532820003,14.0
38,9613.654532820003,14.0
38,9613.654532820003,14.0
38,9613.654532820003,14.0
38,9613.654532820003,14.0
39,3745.09151178,14.0
39,3745.09151178,14.0
39,3745.09151178,14.0
39,3745.09151178,14.0
39,3745.09151178,14.0
39,3745.09151178,14.0
39,3745.09151178,14.0
39,3745.09151178,14.0
39,3745.09151178,14.0
39,3745.09151178,14.0
39,3745.09151178,14.0
39,3745.09151178,14.0
39,3745.09151178,14.0
39,3745.09151178,14.0
40,603.6704630759999,4.0
40,603.6704630759999,4.0
40,603.6704630759999,4.0
40,603.6704630759999,4.0
41,8039.42974144,4.0
41,8039.42974144,4.0
41,8039.42974144,4.0
41,8039.42974144,4.0
42,4044.6546754,5.0
42,4044.6546754,5.0
