route_id,route_shor,trip_id,trip_heads,trip_short,direction_,agency_id,headway_se,O_TERMINAL,LEN_KM,STD_FARE,route_time_s,buses,standard_buses,InputID,Al Amal,Al Amiriyyah,Al Sawah,Al-Mostaqbal,Athar an Naby,Badr,Cairo,El Mizalat,El-Mounib,El-Obour,El-Teraa El-,Fateh,Fom El-Khalig,Gesr Al Suez,Giza,Helwan,Imbaba,Maadi,Nasr,Port Said
CTA_1-1140,1-1140,CTA_1-1140_R,Imbaba,Moneeb-Imbaba,1,CTA,6688.0,Moneeb,24.034205150993305,3.0,11444.859595711096,5.0,4.0,Moneeb,36602.9478002,36737.333846,37163.01469,43985.5003558,4706.54070732,603.670463076,46065.91915440001,31873.7202648,5320.04651692,18138.56151146,33144.5291648,27057.7024704,11299.51211734,50029.417353,9419.27232604,43267.23616640001,23033.4341258,44464.47763380001,26702.3309244,34721.8799728
CTA_1-1140,1-1140,CTA_1-1140_O,Moneeb,Imbaba-Moneeb,0,CTA,6688.0,Imbaba,19.926859978845226,3.0,9488.980942307253,4.0,4.0,Imbaba,44528.2348526,18663.80934736,20273.0231032,39756.4880068,23418.2588514,24044.4502634,52333.5705682,9277.84474616,24085.930348,34808.7752186,11721.62928968,21515.0223696,14405.59065966,34510.2910686,20095.3109122,65044.14703759999,3745.09151178,50196.9963482,21844.8638278,14862.254772100001
CTA_1002,1002,CTA_1002_R,Matbaa,Masaken Ain Shams-Matbaa,1,CTA,1644.0,Masaken Ain Shams,41.86095254819283,4.0,19933.78692771087,29.0,26.0,Masaken Ain Shams,42083.43680500001,14396.10141506,13156.70394008,23601.6573502,46006.4668888,49484.5457372,44313.0090966,24220.630471,52160.4236934,47669.1653548,21489.3126508,24332.9875918,39080.3002428,3009.9433774,50137.9879696,76359.2765468,36727.36404,42306.063913,24933.431742400004,18141.23670674
CTA_1002,1002,CTA_1002_O,Masaken Ain Shams,Matbaa-Masaken Ain Shams,0,CTA,1644.0,Matbaa,37.05715665292347,4.0,17646.2650728207,26.0,26.0,Matbaa,28805.4411626,35767.4922366,35729.0718266,38207.6932642,4915.86221154,8433.5928692,38290.1260226,33183.8309146,13373.11503266,10118.92714468,33824.201627999995,23404.6575102,13288.18130164,47224.3073542,17074.0954651,37603.2275088,27130.5140728,36774.37749280001,22896.898963,34620.652102199994
CTA_1003,1003,CTA_1003_O,Bulaq Al Dakrur,Cairo Airport-Bulaq Al Dakrur,0,CTA,4270.0,Cairo Airport,41.049287686038745,3.0,19547.27985049464,11.0,11.0,Cairo Airport,37726.555214,23322.0411004,21461.0900438,17327.340552200007,49905.6006228,54007.2015012,37586.6090028,33735.3872696,57458.9745546,48076.40302219999,30966.7541324,27175.1897554,44559.6942308,8675.76883244,56371.26529380001,74053.62691939999,45292.7323344,35856.561548000005,27577.292323,27453.482739
CTA_1003,1003,CTA_1003_R,Cairo Airport,Bulaq Al Dakrur-Cairo Airport,1,CTA,4270.0,Bulaq Al Dakrur,41.50322767501426,3.0,19763.441750006787,11.0,11.0,Bulaq Al Dakrur,44286.3315836,27963.2995914,29187.0258972,44469.5401348,16228.46881768,15101.289027899998,53091.354288,19810.13166062,13870.98092776,30166.3025728,21954.848727,25369.0099604,9520.37197112,43431.3793888,9402.54128166,58481.5668464,7996.74225042,51118.728172,25413.6985534,24662.3335972
CTA_1004,1004,CTA_1004_O,Attaba,Isbiko-Attaba,0,CTA,4619.0,Isbiko,32.63417604505374,4.0,15540.083830977968,8.0,8.0,Isbiko,53922.6523066,32501.3323564,31354.5755982,33475.5449798,63724.4766946,67409.53075759999,53219.6635248,41820.8120092,70263.27896519999,63634.0474684,39189.9008138,41351.7776572,57171.4391232,17665.05247636,68334.6612104,90260.6168268,54598.66884119999,51625.0805726,41871.1235974,36023.9461186
CTA_1004,1004,CTA_1004_R,Isbiko,Attaba-Isbiko,1,CTA,4619.0,Attaba,32.116797926391065,4.0,15293.713298281458,8.0,8.0,Attaba,34511.697608800016,17288.23908322,17948.97745304,31821.0299886,16721.6888519,19151.62111138,42536.9015672,13235.44307628,21253.7930914,25526.2489486,13914.05075856,12763.78679892,8327.3343983,31662.0126298,19273.81255288,56249.882807,11927.7070081,40433.951638,12905.97519264,15171.93091102
CTA_1005,1005,CTA_1005_O,Obour Market,Dawaran Shubra-Obour Market,0,CTA,9649.0,Dawaran Shubra,36.752011436341704,3.0,17500.957826829374,5.0,5.0,Dawaran Shubra,40004.9485938,12753.52824346,14162.9068275,33609.1104322,23880.1679026,25706.008951400006,47280.5330444,5796.87880466,26926.1433572,32903.736834599986,7045.35388964,15999.65818238,14964.18311414,28472.053811,23834.066339,63700.1610186,9972.76637714,45105.3211646,16430.77053542,9391.03032026
CTA_1005,1005,CTA_1005_R,Dawaran Shubra,Obour Market-Dawaran Shubra,1,CTA,9649.0,Obour Market,39.457180657800095,3.0,18789.133646571478,5.0,5.0,Obour Market,53625.4999008,40697.0841266,39161.1856464,33714.7868092,69063.3526282,73161.7811276,50882.9683476,50737.3022408,76556.78162919999,66545.263976,47995.4243762,46334.57121559999,63593.3809704,24858.981229,75290.2949922,90526.7860638,63100.015141,49667.3854496,46731.4805602,44601.7831312
