InputID,Al Amal,Al Amiriyyah,Al Sawah,Al-Mostaqbal,Athar an Naby,Badr,Cairo,El Mizalat,El-Mounib,El-Obour,El-Teraa El-,Fateh,Fom El-Khalig,Gesr Al Suez,Giza,Helwan,Imbaba,Maadi,Nasr,Port Said
10th District (6th of October),102626.655955,91966.1667102,93522.98321399999,108686.27744460001,70837.3028394,66080.0250162,112111.5772112,82121.700544,61223.281486800006,83061.45369239998,84804.6752766,89888.4632288,71888.89960739999,107804.83853639998,60013.26203019999,94543.26686880001,69562.0765238,110608.39439619999,89805.6152246,88116.07768460001
10th District (Nasr City),19332.418154,24057.5817038,22051.3436928,3230.88685012,36136.741476999996,40763.9092484,21165.7711152,32384.516784400003,45071.33411,30828.9895266,30190.7863218,15952.34565828,33574.6940124,21000.1949856,45481.918715,55475.5911074,39845.64691540001,19098.79502056,15889.11665422,27344.698604
10th of Ramadan City,116502.94919980002,111272.7258312,109801.986828,100214.8480572,138649.7888252,143004.1722254,109965.90265899998,121088.01353,146723.33212,133547.8474436,118391.75594779999,116181.2146936,133938.9377418,95491.3652528,145784.97368839997,151167.6636298,133660.45279819999,109820.19796460001,116489.49737639999,115079.5936892
10th of Ramadan Station (Asher Men Ramadan),46819.4903144,28153.148465,26694.9486688,26369.379847,57822.4253774,61698.47979600001,46203.1453502,38122.319230400004,64819.6327806,56950.6144658,35386.006140800004,35203.7133576,51758.869047800006,12401.92328384,63246.45233099999,83210.220537,50551.967158800006,44576.939671,35679.45892219999,32010.368867400004
11th District (6th of October),105721.56629460001,94969.4162028,96538.50774480001,111793.150883,73948.15125660002,69189.8698458,115206.10351059999,85091.3821608,64335.746416199996,86139.1613898,87781.92286860001,92986.2287262,74994.63569580001,110812.8518698,63124.557533800005,97314.13966960002,72566.72524419999,113707.67291800001,92905.7092796,91105.138255
11th District (Sheikh Zayed),92580.1915732,74399.701959,76199.7849652,94588.66540639999,60468.2063788,56122.9476834,101882.7431784,64077.09510680001,51161.6265602,74571.1034368,66847.8540518,75491.841986,58692.4063032,90117.2686392,48136.008016,93219.2545868,52564.809358599996,100089.01109279999,75564.2217582,70326.01703300001
11th District Exit (Sheikh Zayed),91107.6720976,72315.470915,74131.7703286,92754.905267,59081.9745086,54804.89332259999,100373.9409622,61972.4372998,49869.7866792,73300.976545,64745.2269738,73669.4242784,57037.8472172,88005.42781339999,46679.900016199994,92575.0009178,50578.035010800006,98557.5712258,73755.30446960001,68230.6821602
15th of May,41741.4728328,78257.9020722,77099.132854,61952.217190400006,55898.0007936,58102.8102342,42830.307552,80427.6739204,61926.037497000005,42676.1526534,79971.9024246,62979.864031,63693.4419132,81759.07197919999,66856.9106296,15842.20191958,77661.22918239998,44079.9699492,62297.949207800004,79201.04215660002
16th District (Sheikh Zayed),93618.40102260001,74402.898001,76240.8035652,95091.2762638,61616.916955199995,57352.482875,102872.9994894,64034.53856980001,52421.6130464,75853.8466856,66809.06173740001,76017.45791960001,59486.3167492,90047.4964346,49200.913216199995,95092.1611236,52793.715033199995,101049.24267,76112.641998,70303.7697548
1st Settlement (New Cairo),28458.9347326,36138.6658824,34014.1201412,12900.4033121,52068.8099918,56750.8158274,24230.780908200002,45911.5286874,61144.5629676,45051.48932280001,43373.7186314,31833.4572004,49684.758553800006,25689.020679400004,61611.402328799995,64942.64331919999,55035.8468732,23226.8108532,31849.244515400005,40070.4262114
1st Settlement Hospital (New Cairo),30642.798785000003,36433.0361074,34318.3552282,14378.50174796,53677.280606199995,58330.7010908,26438.6525654,46385.21447119999,62658.96646719999,47006.1281542,43795.9045366,33029.6684888,51010.6333462,25140.2851782,62982.76885959999,67161.7382722,55884.7228882,25449.089738,33084.9053652,40434.424222
26th of July (Ring Road),50599.0658684,29319.8821968,30907.4067506,49007.3684944,23062.3212094,21506.239016599997,59183.60679119999,19651.88311218,19344.02615062,37052.289410000005,22253.003704799998,30058.0699736,16182.32564804,45164.139697000006,14208.60111172,65201.5559644,6917.76439462,57154.99771919999,30225.550081,25492.2320384
3rd Settlement (New Cairo),15000.08305418,45799.1846826,43864.1021234,20761.8561688,46831.5610912,51519.799326199995,5829.87303738,53183.1804046,56474.3089178,34955.232508,51294.711939,34450.9015068,48259.295074199996,41591.448543,58698.67504559999,46515.5356306,58212.84495780001,6901.52642252,34053.114729,48774.934760000004
6th District (6th of October),102792.682274,95349.4903126,96780.04637519999,110397.87457920001,71706.80156980001,66931.6071982,112239.2556898,85841.9526958,62275.050566,82946.20724460001,88449.9294162,91949.6945478,73808.073625,111089.4313648,61779.6885408,91635.46594319999,73045.89224680001,110864.7779464,91804.799929,91645.00927380001
7th District (6th of October),97341.5019484,85200.595376,86797.6593766,102565.7650862,65290.079976600005,60575.52209219999,106820.91175880001,75264.5763072,55642.7110638,78027.8472262,77966.2293222,83650.6370558,65782.8417268,101050.8638868,54054.0682526,91436.9520756,62809.1360654,105246.92845660001,83596.4026046,81309.03059
7th District (Nasr City),20613.180278599997,18251.30797656,16809.2864544,14377.34563402,25705.555233000003,30166.682081,26630.1159932,23890.232422,34246.0656532,23598.5407132,22256.3274232,5117.17081152,22436.2829322,23243.739416599998,34391.0209394,52164.888353199996,29328.245727999998,24424.809494999998,4883.03062532,20247.4457476
8th District (6th of October),98994.3184276,87591.9785,89166.19745539999,104618.4013962,67052.557539,62314.713741199994,108478.8414684,77708.94678839999,57414.8267212,79557.6547032,80399.641355,85758.75279279999,67819.0650084,103436.8916786,56010.7531084,92135.9557984,65190.3400602,106937.1493202,85689.9771294,83724.1662876
8th District (Nasr City),22391.6332378,22527.2661788,20451.734395599997,3633.8876568000005,37791.376002,42329.2188314,23867.476238,31453.265949,46472.4284116,33368.03899379999,29109.5595786,16530.3810919,34557.8764172,18080.42906278,46562.040151199995,58498.787972000006,39780.152874,21855.798018200003,16594.11892674,26070.825655599998
AUC,34153.0363306,56877.858613,54763.966024,31068.5458652,65124.80548639999,69883.6556088,25119.6270278,65987.63882020001,74748.9649988,54077.871650199995,63651.5245998,49222.4389784,65310.7361694,47491.5676876,76463.9625338,63728.0879286,73416.1048838,26064.468824,49009.233609400006,60567.8489934
Abageyah,28322.269905799996,22342.5932938,22373.0019946,29745.8276434,11500.65255456,15338.04670394,36964.341414999995,20553.2399816,18967.01152748,17920.6751663,20787.089577400002,11612.33595246,7200.79749782,34576.005742400004,18967.02249526,48708.387431,18365.57591488,34973.6693856,11331.64837646,21276.559207799997
Abbasseya,32655.365378,9073.03555992,9103.09006542,24759.3619488,24566.9949068,27779.4215602,39223.4026968,11310.47908132,30399.547661799996,29482.5756306,9954.05356886,8039.42974144,17311.81945678,22321.460379,28639.314338800003,60155.7467128,18346.90286896,37022.0518098,8627.5884725,8869.11591488
Abboud,43525.297463,8842.3276448,10852.12010338,33830.7977492,30665.513957,32564.278105799996,49907.1456184,1723.517811822,33678.934807800004,38810.6563958,1225.864764998,18908.92881358,21811.717022599998,24362.6745074,30339.0249576,69685.4772612,14607.78892512,47698.50716080001,19498.42138556,4694.58366902
Abd Al Moneim Riad,37432.578225599995,20081.4912426,21003.4491554,35655.1243402,15753.93422422,17277.107167200003,45741.5251118,14111.48990436,18609.44511154,26608.0047276,15458.11215292,16570.78651098,6670.37681376,35012.8215812,16006.7426293,56884.9677832,8969.27528212,43674.8728776,16678.88712994,17397.29128852
Abdullah El Refaey,48185.7062364,19301.64109612,18506.72418522,29073.120571599997,51961.1466298,55267.0019134,49892.7361934,28114.919794200003,57701.1319918,54061.7284484,25539.577684599997,30646.9033288,44687.043351199995,8120.84989456,55368.280716199995,82749.56666819999,40968.0017646,47953.028174,31260.380796200003,22510.702018599997
Abou Al Houl,51963.8827804,47369.9544156,48322.1113004,58884.2392676,20121.115042200003,15347.56889826,61445.5993324,39841.277621,10631.3316313,32782.6830454,41899.338874,40906.69805480001,22940.1509616,62210.904723800006,11314.49258272,52109.9611384,27669.852993,59893.2577892,40679.5791644,44401.792894599996
Abou Al Reesh,34248.9165266,23821.8909374,24384.130687,35373.041566,10475.1722542,12584.55248256,43019.2594206,19203.73760642,14891.32835586,21617.3962664,20245.599882,16571.45072626,1802.1510347279998,37782.30164,13665.03263098,51613.659177999994,13459.6524557,41048.88957019999,16456.52823696,21717.404542400003
Abou El Numrus,32550.349306200005,40385.611464199996,40461.4458154,43170.790452999994,7384.07053978,7871.2093193,42000.373234599996,37040.18837819999,11835.30007456,12807.16730272,37921.180623,28457.182388200003,16474.38331118,52234.382710000005,16585.78569366,35993.5974054,29603.059510000003,40630.247671599995,27961.846291400005,38983.790757
Abou Rawwash,65315.746413,47145.7106374,48804.834190199996,66412.93418940001,33944.666451599995,30191.117631200003,74435.4153856,37130.730981199995,25632.252058000002,48598.338874400004,39840.8508916,47315.683333199995,30808.4825478,62994.783039999995,21440.965679400004,72024.6894794,24841.379907799997,72553.73351919999,47390.3100654,43207.531616199994
Abou Wafya,41791.205903400005,8988.88365796,10802.88605346,32871.1925064,28607.850873400002,30600.2625236,48376.81285280001,2144.27215724,31857.6015328,36707.3470036,2113.58787972,17196.75348118,19808.01104412,24809.637712400003,28677.82732,67581.5546182,13583.4105148,46172.3546268,17761.03329558,5028.85336214
Abou Zaabal,71227.68137260001,39144.3840964,39199.7546438,51662.0135868,72530.02909720001,75177.0159462,72388.9466166,44621.1562774,76744.06460780001,76484.7230262,42782.583267199996,52862.3035256,64320.66788119999,31163.451059799998,73474.4336732,105722.329689,56936.250714,70546.4582358,53516.4335518,40884.3935202
Ahmed Helmy,37266.6979358,15360.66036834,16365.82700662,32939.661928400004,19768.27842974,21781.583439200003,44995.858486000005,9941.93552872,23344.1909766,28950.575850200003,10913.7835968,14299.2892819,10954.5990743,30507.774006,20706.0246682,59678.216961,9939.1203044,42857.7408182,14586.80167694,12660.65787474
Ahmed Maher Hospital,32817.814663599995,19913.80014202,20381.238665,31985.5859398,13732.65990788,16446.71635764,41184.6950994,16326.56058954,18973.25267978,22637.492745800002,16976.82809546,12949.29582682,5881.6662978,33695.9892748,17607.93500546,53268.8234302,13574.2999664,39133.4166024,12927.02070014,18079.14007854
Ahram Canadian University,110474.4305154,101797.815831,103299.01234660001,117630.0638688,79178.83855580002,74401.32972739999,119934.3573368,92086.7003594,69675.4607082,90672.3000912,94741.7881702,99030.2633832,80922.8700186,117604.06107639999,68931.214488,99515.17633999999,79412.51052639999,118530.92592200001,98910.35670339999,98007.588705
Ain Shams Metro,42400.799343800005,8304.98805546,7763.89391628,26145.128956599998,41432.856685800005,44528.116763599995,46041.486984400006,17458.21591976,46789.630861800004,44981.0435972,14775.08321324,21372.0852178,33839.4538938,9277.56940676,44363.710040800004,74759.2890432,30154.917585799998,43917.088914,22040.7226396,11577.31415878
Akhnaton Square,11750.08290954,36659.091777199996,34734.456161400005,12235.40553914,40286.1731282,45057.0362186,8663.99915568,44106.5384424,49886.2079562,30282.707724,42178.060739199995,25610.9456846,40539.5160564,33303.343840400004,51563.9317214,48055.6741044,49638.6135992,6952.83115794,25260.8586918,39631.1504126
Al Bohi (Imbaba),46937.6645364,18899.0220214,20684.6652746,41334.938976800004,26061.6917512,26509.655854599998,54585.003612199995,8776.04546938,26270.2261804,37536.309558999994,11478.972098200002,23521.040961000002,17091.70639954,34700.29561,22024.3006388,67769.0493766,4727.37410418,52432.44067719999,23898.471949000002,14877.8428667
Al Hamd Square,12720.87135386,39325.5140102,37382.4820766,14425.7128105,42576.2441664,47335.041822,7274.23245316,46860.5503964,52202.965275,32023.8689232,44917.5467026,28371.862802599997,43112.13032619999,35418.3625294,54014.66691159999,48055.623188800004,52375.134653199995,6154.75921642,28017.193737999998,42344.1629636
Al Hegaz (Obour Police Station),70693.62144199999,51492.88188,50464.842400199996,50434.855955800005,82930.54743280001,86642.7286748,68352.38628400001,60352.232516799995,89484.36671819999,82230.99535720001,57824.264205199994,60456.148207000006,76394.0119466,36895.3646266,87472.4270138,107528.9194256,73243.00935339999,67086.6503716,60954.0321462,54819.7809654
Al Juman,88963.8199394,71857.00325,73607.7627044,91457.5030404,56788.23973559999,52388.1826996,98300.3553884,61611.85911799999,47410.6297394,70787.4298414,64371.713691,72354.84210519999,55314.524721,87643.4203232,44537.7225644,89184.49903919999,49799.410335,96531.6171984,72403.7461532,67822.1604972
Al Magzar (Mariouteya),48217.25367119999,44516.6425918,45368.839942,55226.139588,16354.51897034,11579.02620736,57696.596672800006,37466.5984366,6940.21856798,29138.1950504,39384.4279818,37415.011705000004,19619.32921802,59100.27765599999,8612.30773186,49661.5791228,25767.6048784,56134.50280440001,37164.76203,41720.3170646
Al Malek Al Saleh,33674.0766756,27062.241957200004,27522.395978400004,36779.5479816,7081.201290800001,9294.47106282,42731.789120999994,22629.324244599997,12152.38870184,19319.34272384,23676.4033012,18513.48902738,2075.53116852,40641.2924864,11950.97667948,48733.3729936,16012.2070666,40849.95971619999,18288.81277572,25090.6397118
Al Mostafa Mosque,19378.19385118,44131.018071599996,42091.3859454,18087.95873384,49721.21484080001,54483.22569680001,11491.12914622,52401.451542,59341.681325,39044.379476999995,50278.249365400006,34584.9728684,50037.781612800005,37868.9747326,61081.20739480001,52791.568873000004,58767.943009200004,11648.93799402,34298.5014246,47466.931295999995
Al Mostaqbal Entrance,101979.3840262,94462.06129039999,95893.0781102,109534.16410019998,70862.0075702,66086.257085,111428.78301260002,84954.5381898,61422.383736,82141.4885608,87562.3348602,91076.9439632,72936.2911366,110202.53176619999,60909.125421000004,91003.39915439999,72158.2238492,110048.76878120001,90933.2655106,90757.3434492
Al Motamayez,88536.8856452,77234.6887634,78767.0426026,93968.3885518,56500.61756880001,51780.0140018,98016.65805739998,67473.8873934,46854.7534098,69234.1863768,70135.8732268,75120.17022300001,57168.5744152,93060.70250239999,45365.072325,83319.5078062,54835.3630202,96445.5552846,75047.38720160001,73417.158329
Al Muluk,102022.62655660001,93534.52459560001,95004.52262619999,109118.60801180001,70665.0154048,65887.67280419999,111489.0454546,83918.1235432,61155.7129834,82253.3941704,86550.6916838,90543.7465404,72426.9173228,109314.6070112,60426.8375936,91958.7937606,71179.09230419999,110069.74936400002,90418.5704612,89783.2388572
Al Saaa Square,26192.4771324,13649.97989522,11739.1065279,13017.86440292,31605.214724,35764.527730400005,30497.535106,21912.4632258,39388.7911564,30887.6411738,19656.94869934,8889.64609606,26735.2985292,15921.37439414,38733.232784,59333.762022,30380.230690400003,28313.1974876,9271.99246016,16798.91733576
Al Sawah Square,40097.500809599995,2354.7601715,4433.96274008,28213.8661648,32663.5403592,35335.043574,45617.0248788,8099.0705531,37229.9593676,38419.535467199996,5329.05216922,16040.197368000001,24502.62111,18026.7005659,34553.2552708,69057.24554680001,20329.157558400002,43409.7464392,16713.13888978,1817.079061186
Al Sayeda Aisha,29677.570612199997,22691.9183036,22853.268479,31116.3452806,10827.8429459,14383.99464106,38370.9100546,20211.6334312,17801.44552758,18560.18499712,20637.298272599997,12783.29808742,5762.1368771,35387.986372199994,17603.60608486,49213.81729680001,17215.36279092,36389.2402602,12546.3269017,21365.791030400003
Al Sayeda Nafeesa,30273.7627092,24309.585280400002,24523.9276904,32606.182350599996,9146.26501376,12635.64429508,39136.6067558,21367.495098599997,16104.38751142,17949.31191336,21953.2422776,14464.93979176,4630.07870806,37132.612864999996,16118.46873622,48363.3602198,17310.22576612,37197.1700806,14203.29741232,22846.328662599997
Al Sayeda Zeinab,33641.2747364,22319.851650599998,22849.068053400002,34052.6190658,11655.97222176,14045.9589206,42271.614363,18052.5944757,16454.08246922,21915.452220400002,18961.1259473,15152.2592281,3362.02700028,36217.265277800005,15168.59750492,52208.117919,13365.34912414,40269.3842742,15067.13743336,20307.494637
Al Shabab Entrance,9916.62742948,41495.3747728,39637.5961024,17747.94307958,41390.856271599994,46092.2228302,3179.1861185,48390.5910744,51036.9932526,29814.8436764,46617.3073556,29410.5271236,42801.4307494,38812.9406104,53224.1891908,44049.136449,52947.1685448,2140.08987668,28976.330570200003,44255.2154688
