InputID,TargetID,Distance
Al Sayeda Aisha,Fom El-Khalig,2881.06843855
Al Sayeda Aisha,El Basatin,4431.99445377
Al Sayeda Aisha,Athar an Naby,5413.92147295
Al Sayeda Aisha,Nasr,6273.16345085
Al Sayeda Aisha,Fateh,6391.64904371
Al Sayeda Aisha,Badr,7191.99732053
Al Sayeda Aisha,Tiba,8351.72135227
Al Sayeda Aisha,Imbaba,8607.68139546
Al Sayeda Aisha,Giza,8801.80304243
Al Sayeda Aisha,El-Mounib,8900.72276379
Al Sayeda Aisha,El-Obour,9280.09249856
Al Sayeda Aisha,El Mizalat,10105.8167156
Al Sayeda Aisha,El-Teraa El-,10318.6491363
Al Sayeda Aisha,Port Said,10682.8955152
Al Sayeda Aisha,Al Amiriyyah,11345.9591518
Al Sayeda Aisha,Al Sawah,11426.6342395
Al Sayeda Aisha,Al Mataria,12106.6274495
Al Sayeda Aisha,Al Amal,14838.7853061
Al Sayeda Aisha,Al-Mostaqbal,15558.1726403
Al Sayeda Aisha,Gesr Al Suez,17693.9931861
Al Sayeda Aisha,Maadi,18194.6201301
Al Sayeda Aisha,Cairo,19185.4550273
Al Sayeda Aisha,Katameya,21354.7916576
Al Sayeda Aisha,Helwan,24606.9086484
Smart Village,Giza,18864.2888261
Smart Village,Imbaba,19822.0568864
Smart Village,Tiba,20730.8759216
Smart Village,El-Mounib,20786.0942524
Smart Village,Badr,23159.0730429
Smart Village,Fom El-Khalig,23587.0926496
Smart Village,Athar an Naby,25129.33513
Smart Village,El Mizalat,25379.6851689
Smart Village,El-Teraa El-,26766.9961867
Smart Village,Port Said,28514.9502945
Smart Village,El Basatin,28706.4039546
Smart Village,Al Amiriyyah,30565.9800951
Smart Village,Al Mataria,31362.6525856
Smart Village,Al Sawah,31488.6017658
Smart Village,Fateh,31577.8658752
Smart Village,Nasr,31641.8780218
Smart Village,El-Obour,32414.5215945
Smart Village,Gesr Al Suez,38385.8643049
Smart Village,Al Amal,40876.2334127
Smart Village,Al-Mostaqbal,41085.5744202
Smart Village,Helwan,43319.9389563
Smart Village,Maadi,44482.0701158
Smart Village,Cairo,45428.7587227
Smart Village,Katameya,47661.961567
10th District (6th of October),Giza,30006.6310151
10th District (6th of October),El-Mounib,30611.6407434
10th District (6th of October),Badr,33040.0125081
10th District (6th of October),Imbaba,34781.0382619
10th District (6th of October),Athar an Naby,35418.6514197
10th District (6th of October),Tiba,35769.0701798
10th District (6th of October),Fom El-Khalig,35944.4498037
10th District (6th of October),El Basatin,39432.3076227
10th District (6th of October),El Mizalat,41060.850272
10th District (6th of October),El-Obour,41530.7268462
10th District (6th of October),El-Teraa El-,42402.3376383
10th District (6th of October),Port Said,44058.0388423
10th District (6th of October),Nasr,44902.8076123
10th District (6th of October),Fateh,44944.2316144
10th District (6th of October),Al Amiriyyah,45983.0833551
10th District (6th of October),Al Sawah,46761.491607
